trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	-0.122443	-0.119266	-0.00838	-0.123726	0.018716	-0.07055	0.0
0.007669	-0.047071	0.0	0.0	0.0	0.0	-0.115718	-0.166965	-0.00866	-0.123231	0.019754	-0.071054	0.05474
0.029546	0.169826	5.4e-05	0.0	0.000802	0.029106	-0.094784	0.049304	-0.008886	-0.122736	0.021594	-0.042452	0.264928
0.044038	0.25198	0.044213	0.019137	-0.028877	0.03283	-0.081235	0.13083	0.034993	-0.103104	-0.007047	-0.039232	0.186655
0.048471	0.068346	0.080669	0.005558	-0.02309	0.032659	-0.077746	-0.053431	0.071168	-0.116189	-0.000222	-0.039907	0.241572
0.060333	0.038102	0.111683	-0.042513	-0.041482	0.027502	-0.066827	-0.084303	0.101902	-0.163765	-0.017576	-0.045568	0.13562
0.069578	0.16218	0.086808	0.003552	-0.052082	0.075516	-0.058526	0.039147	0.076747	-0.117205	-0.027138	0.001942	0.249548
0.047322	0.185215	0.062018	0.025554	-0.017189	0.049847	-0.081725	0.061554	0.051677	-0.094708	0.008793	-0.024231	0.142132
0.061288	0.306367	0.120479	-0.026757	-0.001146	0.027445	-0.068703	0.182079	0.109858	-0.146524	0.025874	-0.047137	0.272779
0.064683	0.177399	0.136509	0.015355	-0.021658	0.027445	-0.066251	0.052483	0.125607	-0.103918	0.0064	-0.047641	0.203043
0.064124	0.019154	0.14405	0.007563	-0.014553	0.027445	-0.067753	-0.10639	0.132868	-0.111215	0.014542	-0.048145	0.179345
0.074978	0.043603	0.136128	0.00974	-0.032315	0.027445	-0.057843	-0.082569	0.124666	-0.108543	-0.002182	-0.048649	0.060625
0.077743	0.051256	0.140617	0.047212	-0.025382	0.027502	-0.056021	-0.075544	0.128875	-0.070576	0.005789	-0.049096	0.053707
0.077698	-0.009367	0.135476	0.044863	-0.025382	0.016845	-0.05701	-0.136794	0.123453	-0.07243	0.006827	-0.060257	0.077159
0.077811	0.017333	0.12872	0.053572	-0.029737	0.036555	-0.05784	-0.110722	0.116417	-0.063227	0.00351	-0.041051	0.06217
0.08701	0.098799	0.134124	0.032315	-0.003552	0.031283	-0.049585	-0.029884	0.121541	-0.083989	0.030733	-0.046827	0.142071
