trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
-2.2e-05	0.0	3.1e-05	0.0	-0.00338	0.0	0.037424	-0.173603	0.158855	0.265465	0.016809	-0.020286	0.0
0.031108	-0.024427	0.075435	-0.034377	0.0	0.030825	0.068478	-0.198052	0.234531	0.231014	0.020157	0.010555	0.19081
0.030442	0.076709	0.055078	-0.018048	0.0	0.02097	0.067735	-0.096937	0.214445	0.247269	0.020126	0.000716	0.145009
0.048413	0.165264	0.021036	-0.022517	-0.006303	0.017017	0.085629	-0.008403	0.180675	0.242726	0.013791	-0.003221	0.153418
0.054798	0.205541	-0.048882	-0.035122	0.004011	0.049446	0.091938	0.031852	0.111028	0.230047	0.024074	0.029224	0.16488
0.038182	0.275183	-0.017543	-0.054717	0.010714	0.062452	0.075245	0.101473	0.142639	0.210378	0.030745	0.042246	0.151896
0.036879	0.191547	-0.007535	-0.022345	0.003495	0.040565	0.073866	0.017815	0.152918	0.242676	0.023495	0.020376	0.148597
0.024891	0.139809	-0.01648	-0.060619	0.011058	0.030596	0.061801	-0.033944	0.144245	0.204328	0.031026	0.010423	0.121371
0.039782	0.114692	-0.037535	-0.057869	0.000573	0.043659	0.076616	-0.059082	0.123461	0.207004	0.02051	0.023502	0.084012
0.03255	0.165411	-0.066383	-0.063025	-0.008594	0.047097	0.069307	-0.008385	0.094884	0.201774	0.011311	0.026956	0.102298
0.0353	0.137878	-0.094029	-0.064515	-0.013751	0.047384	0.07198	-0.035939	0.06751	0.200209	0.006123	0.027259	0.06398
0.036913	0.09878	-0.089792	-0.083824	-0.010256	0.047326	0.073517	-0.075059	0.072018	0.180826	0.009586	0.027217	0.064899
0.039275	0.182851	-0.113519	-0.090069	-0.020569	0.062281	0.075802	0.008991	0.048563	0.174507	-0.000758	0.042188	0.13766
0.034632	0.169232	-0.112181	-0.108289	-0.028304	0.055348	0.071083	-0.004649	0.050172	0.156213	-0.008525	0.035271	0.0483
0.039418	0.142447	-0.116578	-0.099064	-0.015355	0.059759	0.075792	-0.031456	0.046047	0.165364	0.004393	0.039699	0.059168
0.030275	0.212634	-0.126141	-0.089324	-0.017017	0.053113	0.066573	0.03871	0.036755	0.17503	0.002699	0.033069	0.104643
0.028248	0.225717	-0.123526	-0.101872	-0.015241	0.04979	0.064469	0.051771	0.039641	0.162408	0.004444	0.029762	0.033125
0.023109	0.186325	-0.116514	-0.102617	-0.007105	0.044347	0.059253	0.012358	0.046925	0.161589	0.012548	0.024335	0.064043
0.020974	0.133234	-0.102507	-0.114878	-0.00361	0.039992	0.057042	-0.040754	0.061203	0.149254	0.016012	0.019996	0.086783
0.023182	0.174982	-0.123659	-0.101414	-0.002636	0.046524	0.059173	0.000972	0.040323	0.162644	0.016954	0.026544	0.083408
0.014518	0.172459	-0.116185	-0.109263	-0.013465	0.040508	0.050433	-0.001572	0.048068	0.15472	0.006094	0.020544	0.040211
0.022795	0.133074	-0.134719	-0.110122	-0.026929	0.036841	0.058633	-0.040979	0.029806	0.153787	-0.007402	0.016894	0.081895
0.020732	0.09669	-0.126281	-0.112185	-0.026299	0.036841	0.056493	-0.077384	0.038515	0.15165	-0.006803	0.01691	0.049235
0.02286	0.16008	-0.141997	-0.126509	-0.023434	0.041539	0.058545	-0.014015	0.023071	0.137252	-0.00397	0.021624	0.100334
0.020398	0.180565	-0.128925	-0.116712	-0.030309	0.036096	0.056006	0.006448	0.036414	0.146975	-0.010876	0.016197	0.055318
0.022826	0.137845	-0.113153	-0.135619	-0.024064	0.028075	0.058358	-0.036293	0.052457	0.127994	-0.004663	0.008192	0.089869
0.01119	0.178212	-0.106644	-0.129259	-0.009568	0.028476	0.046645	0.004052	0.059238	0.13428	0.009802	0.008609	0.077062
0.011477	0.227641	-0.101275	-0.144042	-0.012261	0.031283	0.046856	0.05346	0.064878	0.119423	0.007077	0.011432	0.072785
0.011642	0.204502	-0.099063	-0.139229	-0.019882	0.026929	0.046944	0.0303	0.067362	0.124162	-0.000575	0.007095	0.040166
0.008997	0.150201	-0.097306	-0.152063	-0.021772	0.023319	0.044222	-0.024023	0.06939	0.111254	-0.002497	0.003501	0.074702
0.008051	0.16809	-0.149038	-0.161689	-0.015986	0.029966	0.0432	-0.006155	0.01793	0.101553	0.003258	0.010164	0.089817
0.005312	0.230644	-0.15585	-0.225058	-0.020512	0.033862	0.040384	0.056377	0.011389	0.03811	-0.0013	0.014076	0.134754
-0.041496	0.132977	-0.173442	-0.349046	-0.029106	0.021314	-0.0065	-0.041311	-0.005932	-0.085952	-0.009925	0.001544	0.288717
-0.029357	0.163448	-0.20415	-0.323836	-0.037758	0.022861	0.005562	-0.010861	-0.036368	-0.060816	-0.018609	0.003107	0.104218
-0.029189	0.237658	-0.204311	-0.320112	-0.033862	0.041196	0.005654	0.063327	-0.036258	-0.057166	-0.014744	0.021458	0.097189
-0.02937	0.233978	-0.209625	-0.31209	-0.032544	0.019481	0.005396	0.059626	-0.0413	-0.049218	-0.013458	-0.00024	0.036276
-0.024788	0.17911	-0.190605	-0.314439	-0.036211	0.016558	0.009901	0.004736	-0.022009	-0.051641	-0.017156	-0.003147	0.086271
-0.011124	0.216077	-0.208795	-0.278801	-0.035982	0.036956	0.023489	0.041682	-0.039927	-0.016077	-0.016959	0.017267	0.117921
-0.019296	0.263017	-0.20484	-0.289802	-0.029794	0.036956	0.01524	0.0886	-0.035701	-0.027152	-0.010802	0.017283	0.074067
-0.018584	0.213375	-0.207358	-0.293584	-0.031054	0.032372	0.015876	0.038937	-0.037948	-0.031008	-0.012094	0.012715	0.061272
