trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	0.024444	-0.093732	-0.284006	0.029984	-0.038059	-0.004492	0.0
0.0	-0.013044	-0.02442	0.025038	0.0	0.0	0.024743	-0.106961	-0.308453	0.054605	-0.038346	-0.004281	0.059314
0.017227	0.101204	0.02401	0.03793	0.005271	0.02372	0.042268	0.007103	-0.26005	0.06708	-0.033363	0.019649	0.216455
0.020744	0.082521	0.108763	0.036555	0.011001	0.029278	0.046084	-0.011765	-0.175324	0.065287	-0.02792	0.025418	0.118004
0.01961	0.161176	0.077372	0.062682	0.009225	0.022632	0.045248	0.066706	-0.206742	0.090997	-0.029983	0.018982	0.14133
0.019534	0.209627	0.094995	0.068468	0.019137	0.025325	0.04547	0.114972	-0.189147	0.096366	-0.020359	0.021886	0.082199
0.025919	0.192945	0.162286	0.050019	0.011287	0.029966	0.052154	0.098106	-0.121883	0.077499	-0.028496	0.026737	0.117358
0.039218	0.112889	0.226225	0.04131	0.012892	0.029966	0.065751	0.017865	-0.057971	0.068373	-0.027179	0.026948	0.166295
0.030216	0.064803	0.231741	0.036211	0.009511	0.029966	0.057048	-0.030405	-0.052482	0.062857	-0.030847	0.027159	0.070004
0.025584	0.023223	0.204749	0.029507	0.010772	0.026356	0.052714	-0.072169	-0.079501	0.055735	-0.029873	0.023759	0.083305
0.027532	0.010894	0.194918	0.043086	0.010943	0.03369	0.054961	-0.084683	-0.089359	0.068897	-0.02999	0.031304	0.042507
0.021123	0.127253	0.219911	0.027617	0.005443	0.026471	0.04885	0.031492	-0.064393	0.05301	-0.035777	0.024295	0.17236
0.012096	0.108252	0.253125	0.00762	0.010886	0.016558	0.040122	0.012306	-0.031206	0.032596	-0.030622	0.014593	0.092093
0.008663	0.089189	0.261361	0.006532	0.021601	0.015871	0.036987	-0.006941	-0.022997	0.031091	-0.020194	0.014116	0.041632
0.003002	0.080112	0.234099	0.006704	0.026356	0.009683	0.031625	-0.016203	-0.050286	0.030845	-0.015726	0.008139	0.0517
0.005822	0.173708	0.239705	0.004011	0.023549	0.008824	0.034743	0.077209	-0.044707	0.027735	-0.018821	0.007491	0.107571
0.00464	0.157964	0.275503	-0.009855	0.029221	0.012319	0.03386	0.061281	-0.008936	0.013452	-0.013436	0.011196	0.072824
0.000339	0.097013	0.280069	-0.005099	0.028419	0.010485	0.029857	0.000145	-0.004397	0.01779	-0.014526	0.009573	0.076269
0.00041	0.079583	0.24464	0.004756	0.033518	0.004756	0.030227	-0.017469	-0.039853	0.027228	-0.009714	0.004054	0.070979
0.000369	0.156311	0.259811	-0.005157	0.030138	0.01484	0.030484	0.059074	-0.024709	0.016898	-0.013381	0.014349	0.11234
0.000403	0.092087	0.280068	-0.005099	0.030539	0.013063	0.030816	-0.005334	-0.004479	0.016538	-0.013268	0.012783	0.086466
0.000463	0.058135	0.265615	0.006532	0.037758	0.004756	0.031175	-0.039471	-0.018959	0.027752	-0.006336	0.004686	0.072164
0.000431	0.075808	0.251773	-0.009053	0.037758	0.011345	0.031441	-0.021982	-0.032828	0.01175	-0.006624	0.011486	0.050897
0.000444	0.093249	0.29554	-0.003953	0.037758	0.011574	0.031753	-0.004725	0.010912	0.016432	-0.006911	0.011925	0.065871
-0.00309	0.076878	0.292429	-0.010371	0.041826	0.010141	0.028517	-0.021281	0.007774	0.009597	-0.003131	0.010703	0.033417
-0.01398	0.074824	0.249243	-0.016673	0.046123	0.019194	0.017926	-0.023519	-0.035439	0.002878	0.000879	0.019966	0.07328
-0.009085	0.139716	0.263697	-0.017647	0.040909	0.014496	0.023119	0.041188	-0.021012	0.001486	-0.004622	0.015479	0.093741
-0.017868	0.108671	0.297982	-0.017017	0.036154	0.009282	0.014635	0.009959	0.013246	0.001699	-0.009665	0.010476	0.083362
-0.017731	0.102869	0.287331	-0.02372	0.048128	0.006016	0.01507	0.003972	0.002568	-0.005421	0.002022	0.00742	0.035739
-0.017753	0.088646	0.245601	-0.023663	0.047498	0.007678	0.015347	-0.010435	-0.039189	-0.005782	0.001104	0.009293	0.058025
-0.017854	0.153009	0.278366	-0.029565	0.037987	0.00361	0.015544	0.053744	-0.006451	-0.012101	-0.008694	0.005435	0.114229
-0.026617	0.105914	0.314807	-0.020397	0.04979	0.003209	0.00708	0.006464	0.029963	-0.003351	0.002822	0.005245	0.11095
-0.021882	0.072069	0.313606	-0.019538	0.037128	0.001031	0.012113	-0.027565	0.028735	-0.002909	-0.010128	0.003277	0.053481
-0.025677	0.047404	0.269433	-0.016902	0.043144	-0.010141	0.008616	-0.052415	-0.015465	-0.00069	-0.004399	-0.007684	0.089933
