trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
3e-05	-3.4e-05	0.0	0.0	0.0	-0.00338	-0.018297	-0.100595	-0.167658	0.014964	0.033493	-0.040453	0.0
0.025148	1.5e-05	-0.006332	-0.006131	0.0	0.007907	0.006837	-0.100734	-0.176423	0.007446	0.033325	-0.029292	0.046699
0.053766	0.074882	-0.015492	-0.006303	0.0	0.047498	0.035472	-0.026055	-0.188015	0.005888	0.033157	0.010174	0.147345
0.038076	0.134414	-0.002878	0.004469	-0.053915	0.023377	0.019798	0.033289	-0.177834	0.015273	-0.020925	-0.014072	0.165336
0.033419	0.138444	0.079998	0.0	-0.046524	0.022231	0.015158	0.037131	-0.09739	0.009417	-0.013702	-0.015343	0.102913
0.033326	0.134779	0.128888	-0.019079	-0.041425	0.02521	0.015081	0.033278	-0.050933	-0.011049	-0.008771	-0.012489	0.076347
0.031584	0.109838	0.192962	-0.020111	-0.023549	0.025153	0.013356	0.008149	0.010708	-0.013468	0.008938	-0.012671	0.107307
0.030079	0.053174	0.21133	-0.012834	-0.019194	0.028648	0.011867	-0.048703	0.026644	-0.007578	0.013125	-0.009302	0.089738
0.023431	0.036134	0.155342	0.024236	-0.002865	0.047498	0.005236	-0.065931	-0.031777	0.028105	0.029286	0.009423	0.142725
0.027549	0.098246	0.168797	0.039248	-0.009798	0.047498	0.009371	-0.004007	-0.020754	0.04173	0.022185	0.009298	0.098836
0.028799	0.058901	0.185021	0.048071	-0.013694	0.047498	0.010637	-0.043539	-0.006963	0.049166	0.018122	0.009173	0.067918
0.02618	0.058852	0.219121	0.056035	-0.015814	0.047498	0.008035	-0.043776	0.024704	0.055743	0.015834	0.009048	0.045568
0.02132	0.035613	0.20239	0.059702	-0.010714	0.035867	0.003191	-0.067203	0.005541	0.058023	0.020766	-0.002708	0.062631
0.011633	0.061937	0.175529	0.047785	-0.002922	0.047498	-0.006479	-0.041067	-0.023753	0.044719	0.028391	0.008797	0.090221
0.015187	0.131212	0.200921	0.02097	-0.002865	0.024351	-0.002909	0.02802	-0.000793	0.016517	0.02828	-0.014475	0.141871
0.021516	0.141193	0.203462	0.040279	-0.027273	0.030997	0.003437	0.037813	-0.000685	0.034439	0.003704	-0.007954	0.062801
0.021413	0.129263	0.217957	0.047785	-0.022861	0.033862	0.00335	0.025695	0.011377	0.040558	0.007949	-0.005214	0.039429
0.017905	0.10672	0.209211	0.055749	-0.023892	0.035008	-0.000141	0.002964	0.000199	0.047135	0.00675	-0.004193	0.043647
0.014855	0.077387	0.156978	0.041654	-0.010371	0.033575	-0.003175	-0.026557	-0.054467	0.031653	0.020103	-0.005751	0.109966
0.016608	0.108694	0.184156	0.047785	-0.019481	0.032945	-0.001405	0.004562	-0.029722	0.036397	0.010825	-0.006506	0.074088
0.019284	0.101215	0.230193	0.055749	-0.022002	0.02097	0.001287	-0.003104	0.013883	0.042974	0.008137	-0.018607	0.075792
0.014043	0.075361	0.217872	0.047212	-0.006188	0.033919	-0.003937	-0.029146	-0.000871	0.03305	0.023783	-0.005783	0.075966
0.015921	0.047361	0.185508	0.030653	-0.027273	0.035065	-0.002042	-0.057334	-0.035667	0.015104	0.00253	-0.004762	0.096093
0.015453	0.104912	0.203191	0.036268	-0.027273	0.030424	-0.002494	2.9e-05	-0.020417	0.019332	0.002363	-0.009528	0.084652
0.017747	0.104857	0.232904	0.043717	-0.022861	0.029851	-0.000183	-0.000214	0.006863	0.025394	0.006607	-0.010226	0.042913
0.016226	0.10848	0.230056	0.040508	-0.023491	0.038331	-0.001688	0.003221	0.001583	0.020798	0.005809	-0.001871	0.018742
0.017049	0.104933	0.208406	0.03369	-0.031341	0.032028	-0.000848	-0.000514	-0.0225	0.012593	-0.002209	-0.0083	0.044321
0.012788	0.142999	0.230806	0.025955	-0.003037	0.025038	-0.005093	0.037364	-0.002532	0.003471	0.025928	-0.015415	0.102277
0.020142	0.126984	0.271729	0.044232	-0.027273	0.027903	0.002278	0.021161	0.035958	0.020362	0.001524	-0.012675	0.103892
0.021532	0.092292	0.260085	0.044404	-0.027273	0.027617	0.003684	-0.013719	0.021881	0.019147	0.001356	-0.013086	0.048126
0.018983	0.075558	0.241885	0.033518	-0.027273	0.032429	0.001152	-0.030641	0.001249	0.006874	0.001189	-0.008399	0.051182
0.020848	0.130338	0.236248	0.043201	-0.027273	0.028591	0.003033	0.023952	-0.006821	0.01517	0.001021	-0.012362	0.074081
0.024052	0.115684	0.262064	0.038216	-0.027273	0.030653	0.006254	0.00911	0.016562	0.008798	0.000853	-0.010426	0.049824
0.022795	0.071559	0.254991	0.045493	-0.022804	0.031054	0.005013	-0.035203	0.007057	0.014688	0.005154	-0.01015	0.063055
0.022438	0.085788	0.22348	0.023549	-0.022116	0.03644	0.004673	-0.021162	-0.026887	-0.008643	0.005675	-0.004889	0.070547
0.024763	0.124012	0.244107	0.03369	-0.024694	0.039649	0.007015	0.016874	-0.008692	0.000111	0.002929	-0.001805	0.075076
0.024687	0.123894	0.266301	0.044519	-0.02372	0.034549	0.006955	0.016568	0.011069	0.009553	0.003735	-0.00703	0.037139
0.022731	0.114398	0.25155	0.039706	-0.017246	0.033289	0.005016	0.006884	-0.006115	0.003353	0.010042	-0.008415	0.037152
0.020209	0.088934	0.222657	0.0322	-0.021257	0.03495	0.00251	-0.018768	-0.03744	-0.00554	0.005863	-0.00688	0.068379
0.020264	0.132937	0.226222	0.04406	-0.028992	0.036211	0.002582	0.025047	-0.036308	0.004933	-0.00204	-0.005744	0.065823
0.023238	0.126672	0.270157	0.055749	-0.022976	0.0373	0.005572	0.018594	0.005195	0.015235	0.003808	-0.00478	0.069575
0.016511	0.0782	0.272178	0.055749	-0.022173	0.034148	-0.001138	-0.030065	0.004783	0.013848	0.004444	-0.008057	0.060671
0.019253	0.059911	0.234058	0.040451	-0.025554	0.036727	0.00162	-0.048542	-0.03577	-0.002837	0.000895	-0.005603	0.077702
0.020048	0.12474	0.24367	0.043487	-0.034206	0.038503	0.002432	0.016099	-0.02859	-0.001188	-0.007925	-0.003952	0.086986
0.023359	0.129764	0.268585	0.055749	-0.026299	0.03432	0.005759	0.020935	-0.006108	0.009687	-0.000185	-0.008261	0.054501
0.016821	0.099905	0.237019	0.055749	-0.024809	0.038789	-0.000762	-0.009112	-0.040106	0.0083	0.001137	-0.003917	0.073163
0.015086	0.095019	0.221847	0.029221	-0.009626	0.047498	-0.002481	-0.014186	-0.057711	-0.019615	0.016152	0.004667	0.065793
0.019552	0.147496	0.238177	0.055749	-0.019194	0.035638	0.002002	0.038103	-0.043814	0.005526	0.006416	-0.007318	0.115123
0.020172	0.137955	0.26603	0.055749	-0.028018	0.029393	0.002639	0.028374	-0.018393	0.004139	-0.002575	-0.013688	0.051164
0.019385	0.078388	0.250208	0.029908	-0.025153	0.035294	0.001868	-0.031381	-0.036648	-0.023089	0.000122	-0.007912	0.106376
0.018474	0.086502	0.221256	0.021028	-0.017762	0.038675	0.000974	-0.023455	-0.068033	-0.033356	0.007345	-0.004657	0.055127
0.021837	0.134669	0.239596	0.044633	-0.022116	0.035466	0.004353	0.024524	-0.052125	-0.011138	0.002824	-0.007991	0.097069
0.02311	0.114128	0.258582	0.049045	-0.040508	0.029966	0.005643	0.003796	-0.035572	-0.008113	-0.015736	-0.013616	0.0655
0.01896	0.071792	0.229037	0.021887	-0.028304	0.034721	0.001509	-0.038728	-0.067549	-0.036658	-0.0037	-0.008986	0.11453
0.016232	0.10276	0.212047	0.028018	-0.014267	0.034492	-0.001202	-0.007948	-0.086972	-0.031913	0.01017	-0.00934	0.068486
0.02416	0.169442	0.242955	0.049504	-0.025898	0.035753	0.006742	0.058546	-0.058497	-0.011814	-0.001629	-0.008204	0.135518
0.022166	0.12059	0.275781	0.040336	-0.024007	0.036383	0.004765	0.009506	-0.028103	-0.022369	9.4e-05	-0.0077	0.093873
0.016469	0.090323	0.253773	0.040795	-0.029049	0.036154	-0.000916	-0.020949	-0.052544	-0.023297	-0.005116	-0.008054	0.062972
0.015889	0.115115	0.237143	0.041368	-0.025669	0.038388	-0.001479	0.003655	-0.071606	-0.024111	-0.001903	-0.005945	0.047401
0.019646	0.146186	0.258701	0.048587	-0.026643	0.030252	0.002294	0.034538	-0.052481	-0.018279	-0.003045	-0.014206	0.070636
0.020242	0.120119	0.274544	0.055749	-0.034492	0.027617	0.002907	0.008283	-0.039071	-0.012504	-0.011062	-0.016966	0.057905
0.017362	0.083097	0.264766	0.039534	-0.026929	0.034435	4.4e-05	-0.028927	-0.051281	-0.030106	-0.003666	-0.010273	0.07638
0.014372	0.117038	0.261266	0.04068	-0.022403	0.027674	-0.00293	0.004827	-0.057214	-0.030347	0.000692	-0.01716	0.051281
0.021317	0.132095	0.293254	0.037242	-0.009683	0.047498	0.004032	0.019696	-0.027659	-0.035172	0.013244	0.002539	0.08539
0.024658	0.078487	0.309279	0.042227	-0.009683	0.039763	0.007389	-0.0341	-0.014066	-0.031574	0.013076	-0.005321	0.084074
0.021291	0.058734	0.276406	0.033403	-0.00361	0.047498	0.004039	-0.054041	-0.049372	-0.041785	0.018982	0.002289	0.075743
0.020197	0.127684	0.269997	0.017303	-0.009626	0.047498	0.002961	0.014721	-0.058213	-0.059272	0.012798	0.002164	0.095753
0.016342	0.162791	0.307886	0.044347	-0.01484	0.028361	-0.000877	0.04964	-0.022757	-0.033615	0.007416	-0.017098	0.121702
0.018888	0.134588	0.323937	0.055749	-0.014381	0.032888	0.001685	0.021249	-0.009139	-0.0236	0.007708	-0.012697	0.061101
0.014738	0.086883	0.310628	0.036154	-0.009626	0.032945	-0.002448	-0.026644	-0.02488	-0.044582	0.012295	-0.012765	0.086463
0.015395	0.110991	0.274716	0.045149	-0.009626	0.034721	-0.001775	-0.002724	-0.063225	-0.036974	0.012127	-0.011114	0.070076
0.014465	0.146937	0.298646	0.052311	-0.01547	0.026757	-0.002688	0.033034	-0.041727	-0.031199	0.006115	-0.019203	0.079106
0.009877	0.117211	0.314761	0.055749	-0.009626	0.026241	-0.007259	0.003121	-0.028045	-0.029148	0.011792	-0.019844	0.058979
0.016222	0.082684	0.298676	0.055749	-0.009626	0.026814	-0.000898	-0.031594	-0.046563	-0.030535	0.011624	-0.019396	0.057457
0.012447	0.096756	0.283942	0.03919	-0.009683	0.047498	-0.004656	-0.01771	-0.063729	-0.048481	0.011399	0.001162	0.065131
0.006517	0.134024	0.30721	0.049332	-0.009626	0.028018	-0.01057	0.01937	-0.042894	-0.039726	0.011289	-0.018443	0.092366
0.008779	0.112737	0.344165	0.049962	-0.009626	0.02183	-0.008291	-0.002105	-0.008371	-0.040483	0.011121	-0.024756	0.066454
0.012844	0.072989	0.316461	0.037873	-0.015011	0.032945	-0.00421	-0.042041	-0.038508	-0.053959	0.005568	-0.013766	0.096466
0.013014	0.143279	0.308288	0.029737	-0.009626	0.035867	-0.004023	0.028061	-0.049114	-0.063482	0.010785	-0.010969	0.092982
0.015392	0.137131	0.345627	0.042456	-0.009626	0.037987	-0.001629	0.021725	-0.014207	-0.05215	0.010618	-0.008974	0.058814
0.022869	0.095129	0.344803	0.043545	-0.009683	0.047498	0.005865	-0.020465	-0.017464	-0.052447	0.010393	0.000411	0.059603
0.031814	0.06771	0.306215	0.04343	-0.006532	0.058785	0.014826	-0.048072	-0.058485	-0.053949	0.013376	0.011573	0.087652
0.023891	0.139571	0.304328	0.036555	-0.008881	0.047498	0.00692	0.023601	-0.062804	-0.062211	0.01086	0.000161	0.09957
0.039858	0.107485	0.339088	0.028132	-0.008422	0.040279	0.022903	-0.008672	-0.030477	-0.072021	0.011151	-0.007183	0.096864
0.047658	0.13568	0.342092	0.089381	-0.008652	0.047498	0.03072	0.019335	-0.029905	-0.012159	0.010753	-8.9e-05	0.098949
0.018762	0.113655	0.298917	0.122269	-0.01971	0.030825	0.001841	-0.002878	-0.075513	0.019342	-0.000473	-0.016887	0.146996
0.006503	0.072373	0.302081	0.089439	-0.008365	0.024064	-0.010402	-0.044348	-0.074782	-0.014875	0.010705	-0.023773	0.101155
0.006517	0.095141	0.303168	0.093564	-0.009912	0.026127	-0.010371	-0.021768	-0.076127	-0.012137	0.00899	-0.021836	0.030619
0.006504	0.094979	0.33258	0.103877	-0.013808	0.033633	-0.010368	-0.022118	-0.049148	-0.003211	0.004926	-0.014455	0.048537
0.004553	0.118241	0.322336	0.107029	-0.026757	0.021314	-0.012302	0.000956	-0.061824	-0.001446	-0.00819	-0.026899	0.060258
0.010931	0.125757	0.27312	0.10531	-0.015986	0.047441	-0.005908	0.008284	-0.113473	-0.004552	0.002413	-0.000897	0.09681
0.012071	0.162235	0.279662	0.104049	-0.016043	0.03919	-0.004751	0.044574	-0.109364	-0.0072	0.002188	-0.009273	0.052511
0.013586	0.162366	0.335313	0.106799	-0.022575	0.017418	-0.00322	0.044517	-0.056145	-0.005837	-0.004511	-0.03117	0.084397
0.014488	0.15615	0.390886	0.103591	-0.04343	0.026299	-0.002301	0.038114	-0.003005	-0.010432	-0.025534	-0.022415	0.09144
0.011194	0.117731	0.380956	0.100554	-0.036841	0.047498	-0.005579	-0.000493	-0.015368	-0.014856	-0.019113	-0.001341	0.078543
0.011432	0.05181	0.382251	0.094996	-0.021028	0.047498	-0.005324	-0.066602	-0.016505	-0.021801	-0.003468	-0.001466	0.086104
0.011404	0.080219	0.398013	0.115451	-0.022517	0.047498	-0.005336	-0.038381	-0.003176	-0.002733	-0.005124	-0.001591	0.063349
0.020582	0.11167	0.439611	0.129317	-0.036841	0.055176	0.003859	-0.007118	0.03599	0.009746	-0.019616	0.005962	0.113528
0.021552	0.103328	0.460575	0.142552	-0.036841	0.047498	0.004846	-0.015648	0.054521	0.021594	-0.019784	-0.001841	0.048526
0.011385	0.061799	0.430568	0.1339	-0.022517	0.047498	-0.005305	-0.057365	0.022081	0.011555	-0.005627	-0.001967	0.101753
0.011196	0.13402	0.41858	0.109836	-0.036898	0.047498	-0.005477	0.014668	0.007661	-0.013896	-0.020176	-0.002092	0.117948
0.023481	0.155569	0.461845	0.118029	-0.036841	0.047498	0.006824	0.036029	0.048493	-0.00709	-0.020287	-0.002217	0.084298
0.022893	0.122679	0.472961	0.11356	-0.022517	0.061822	0.006253	0.002951	0.057177	-0.012946	-0.006131	0.011982	0.073494
0.011423	0.097062	0.45768	0.095168	-0.014209	0.061822	-0.005201	-0.022854	0.039463	-0.032725	0.00201	0.011857	0.075668
