trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	-0.041726	-0.264286	-0.058604	0.121167	0.014766	0.089807	0.0
0.042908	0.070659	-0.024286	-0.01885	-0.0373	-0.013751	0.001344	-0.193871	-0.083943	0.101974	-0.022816	0.076148	0.198853
0.033645	0.146601	-0.031639	-0.047727	-0.042227	-0.037701	-0.007757	-0.118173	-0.092349	0.072755	-0.028024	0.05229	0.142958
0.042734	0.214594	-0.042994	-0.04767	-0.04618	-0.026413	0.001494	-0.050423	-0.104757	0.07247	-0.032259	0.06367	0.101787
0.063867	0.305599	-0.034269	-0.056895	-0.059702	-0.034091	0.022789	0.040338	-0.097085	0.062903	-0.046062	0.056084	0.147414
0.073286	0.289088	-0.016064	-0.077292	-0.072823	-0.045493	0.03237	0.023584	-0.079933	0.042164	-0.059465	0.044774	0.083335
0.081956	0.252101	-0.00537	-0.100898	-0.08411	-0.039076	0.041201	-0.013647	-0.070292	0.018215	-0.071033	0.051283	0.092401
0.073356	0.271092	0.004154	-0.095913	-0.077521	-0.057525	0.032763	0.0051	-0.061821	0.022858	-0.064725	0.032926	0.063315
0.069542	0.256114	0.025576	-0.103591	-0.075974	-0.075573	0.029111	-0.010121	-0.041452	0.014838	-0.06346	0.01497	0.064014
0.065049	0.235338	0.044619	-0.105768	-0.087777	-0.073797	0.02478	-0.031141	-0.023462	0.012319	-0.075544	0.016838	0.058062
0.071201	0.20802	0.080475	-0.120149	-0.095569	-0.101986	0.031094	-0.058703	0.011341	-0.002404	-0.083618	-0.011259	0.113275
0.046563	0.146514	0.083449	-0.136708	-0.044977	-0.112701	0.006618	-0.120452	0.013262	-0.019305	-0.033307	-0.021882	0.157069
0.039437	0.195447	0.084337	-0.130462	-0.026241	-0.105596	-0.000346	-0.071763	0.013097	-0.013402	-0.014853	-0.014685	0.084948
0.046724	0.257799	0.071661	-0.127254	-0.026241	-0.103476	0.007103	-0.009655	-0.000632	-0.010536	-0.015134	-0.012473	0.086965
0.04264	0.246993	0.080259	-0.132124	-0.026241	-0.105252	0.003181	-0.020704	0.006913	-0.015748	-0.015416	-0.014157	0.029288
0.043219	0.256835	0.045494	-0.13327	-0.026241	-0.105711	0.003922	-0.011106	-0.028905	-0.017236	-0.015697	-0.014524	0.046587
0.038773	0.305665	0.060905	-0.140375	-0.007277	-0.095569	-0.000362	0.037481	-0.014547	-0.024683	0.002986	-0.004291	0.100287
0.04542	0.311209	0.072742	-0.121295	-0.026241	-0.091043	0.006447	0.042781	-0.003764	-0.005946	-0.01626	0.000327	0.061177
0.050951	0.280625	0.098176	-0.112815	-0.026241	-0.096314	0.01214	0.011953	0.020617	0.002192	-0.016541	-0.004852	0.073549
0.047846	0.237125	0.072172	-0.127311	-0.013407	-0.092361	0.009197	-0.03179	-0.00644	-0.012646	-0.003989	-0.000807	0.099909
0.042745	0.248122	0.073912	-0.127254	-0.009568	-0.087605	0.004258	-0.021037	-0.005753	-0.012931	-0.000431	0.004041	0.025388
0.045583	0.259437	0.102048	-0.127254	-0.004068	-0.091329	0.007258	-0.009966	0.02133	-0.013273	0.004787	0.000409	0.050338
0.047515	0.255135	0.122257	-0.127254	-0.007506	-0.089553	0.009352	-0.014511	0.040486	-0.013615	0.001068	0.002277	0.030993
0.045659	0.231719	0.103912	-0.137281	-0.003495	-0.093679	0.007658	-0.038171	0.021088	-0.023985	0.004798	-0.001757	0.059468
0.041904	0.257788	0.068292	-0.150401	-0.000859	-0.092533	0.004065	-0.012345	-0.015585	-0.037447	0.007152	-0.000519	0.080194
0.049778	0.3071	0.107463	-0.145359	-0.003323	-0.090642	0.012101	0.036723	0.022533	-0.032747	0.004407	0.001464	0.104557
0.050334	0.292438	0.119195	-0.137281	-0.002636	-0.094939	0.012819	0.021817	0.033212	-0.025011	0.004812	-0.002741	0.038349
0.046612	0.252734	0.084434	-0.141234	0.000917	-0.094653	0.009259	-0.01813	-0.002602	-0.029306	0.008084	-0.002363	0.084987
0.04775	0.308048	0.084187	-0.159282	0.00361	-0.0962	0.010558	0.03694	-0.003902	-0.047697	0.010495	-0.003818	0.076149
0.050818	0.289934	0.111071	-0.135848	-0.001662	-0.097231	0.013788	0.018582	0.021929	-0.024605	0.004942	-0.004757	0.074016
0.047434	0.24873	0.119568	-0.133958	0.002292	-0.094939	0.010566	-0.022865	0.029373	-0.023057	0.008614	-0.002373	0.060185
0.046168	0.248471	0.08625	-0.152521	0.005615	-0.093793	0.009462	-0.023368	-0.004998	-0.041962	0.011656	-0.001135	0.054942
0.048468	0.283024	0.103863	-0.135447	0.002005	-0.090642	0.011924	0.010942	0.011562	-0.02523	0.007765	0.002108	0.075266
0.049798	0.251012	0.115618	-0.14026	0.002177	-0.094653	0.013416	-0.021314	0.022264	-0.030385	0.007655	-0.001811	0.052947
0.044979	0.229166	0.082563	-0.141864	0.003667	-0.089897	0.008759	-0.043404	-0.011844	-0.032332	0.008864	0.003037	0.06657
0.047951	0.306006	0.084542	-0.139343	0.008938	-0.093507	0.011893	0.033193	-0.010918	-0.030153	0.013853	-0.000481	0.091741
0.049659	0.282944	0.114663	-0.127254	0.001948	-0.094309	0.013763	0.009887	0.018149	-0.018406	0.006582	-0.001191	0.07224
0.047134	0.23592	0.097041	-0.147021	0.00338	-0.095512	0.0114	-0.037381	-0.000526	-0.038515	0.007732	-0.002302	0.08672
0.04155	0.267605	0.062271	-0.147537	0.002063	-0.093449	0.005978	-0.005939	-0.036349	-0.039373	0.006134	-0.000147	0.075439
0.045942	0.286877	0.096849	-0.137109	0.005787	-0.095397	0.010532	0.013089	-0.002824	-0.029287	0.009577	-0.002003	0.072292
0.046779	0.258725	0.113771	-0.135161	0.010199	-0.09958	0.011531	-0.015307	0.013045	-0.027682	0.013707	-0.006094	0.055112
0.044857	0.239873	0.078184	-0.156933	0.006417	-0.096085	0.009771	-0.034402	-0.023595	-0.049796	0.009644	-0.002507	0.081711
0.045207	0.268743	0.057139	-0.147078	0.007964	-0.089897	0.010283	-0.005776	-0.045693	-0.040283	0.010909	0.003773	0.065615
0.04502	0.28266	0.100785	-0.132754	0.007678	-0.093507	0.010258	0.007898	-0.0031	-0.026301	0.010342	0.000255	0.07365
0.043233	0.252435	0.112092	-0.136135	-0.002406	-0.093679	0.008633	-0.022571	0.007154	-0.030024	-2.4e-05	0.000175	0.05522
0.033631	0.21655	0.117098	-0.149485	0.028648	-0.07861	-0.000807	-0.0587	0.011107	-0.043717	0.030749	0.015336	0.102393
0.029438	0.23942	0.072445	-0.152693	0.015986	-0.082563	-0.004838	-0.036073	-0.034599	-0.047267	0.017805	0.011475	0.089015
0.038514	0.316049	0.133877	-0.175955	0.019022	-0.092762	0.0044	0.040312	0.02578	-0.070871	0.02056	0.001368	0.178987
0.037634	0.251755	0.159189	-0.180081	0.022689	-0.090871	0.003682	-0.024226	0.050039	-0.075339	0.023946	0.003351	0.098937
0.029811	0.233369	0.139424	-0.166559	0.020111	-0.088751	-0.003979	-0.042855	0.029221	-0.062159	0.021086	0.005563	0.061874
0.026883	0.237736	0.084316	-0.156761	0.025898	-0.07861	-0.006745	-0.038732	-0.02694	-0.052703	0.026592	0.015796	0.084853
0.028887	0.285102	0.102962	-0.161345	0.024351	-0.07861	-0.00458	0.008391	-0.009347	-0.05763	0.024763	0.015888	0.073366
0.031688	0.282851	0.137132	-0.154355	0.023663	-0.092647	-0.001617	0.005896	0.02377	-0.050982	0.023794	0.001943	0.058172
0.026621	0.22346	0.129799	-0.154469	0.021658	-0.088522	-0.006522	-0.053739	0.015384	-0.051438	0.021507	0.00616	0.07724
0.024981	0.24472	0.092129	-0.15573	0.021085	-0.088465	-0.008	-0.032722	-0.02334	-0.053041	0.020653	0.006309	0.06222
0.025666	0.292389	0.123069	-0.141979	0.020798	-0.087319	-0.007153	0.014703	0.006547	-0.039632	0.020085	0.007547	0.092545
0.021881	0.266918	0.153059	-0.14576	0.022403	-0.093793	-0.010776	-0.011012	0.035484	-0.043756	0.021408	0.001165	0.069596
0.017984	0.212329	0.12409	-0.161345	0.031226	-0.092876	-0.014511	-0.065844	0.005462	-0.059683	0.02995	0.002174	0.109555
0.020261	0.297608	0.125585	-0.137739	0.026585	-0.094423	-0.012072	0.019191	0.005904	-0.036419	0.025027	0.000719	0.115051
0.025171	0.265744	0.179874	-0.134015	0.020684	-0.089954	-0.007	-0.012916	0.05914	-0.033037	0.018845	0.00528	0.103362
0.024768	0.25266	0.186	-0.131322	0.017991	-0.098434	-0.007241	-0.026244	0.064213	-0.030686	0.01587	-0.003108	0.031713
0.018945	0.232514	0.153204	-0.153954	0.036268	-0.09746	-0.012902	-0.046634	0.030364	-0.05366	0.033866	-0.002042	0.095315
0.021759	0.276487	0.160675	-0.145016	0.028018	-0.101585	-0.009926	-0.002904	0.036782	-0.045065	0.025334	-0.006075	0.072857
0.025099	0.259621	0.19464	-0.149485	0.029737	-0.100841	-0.006424	-0.020014	0.069694	-0.049876	0.026772	-0.005239	0.06022
0.025806	0.268404	0.20108	-0.121868	0.025325	-0.104336	-0.005555	-0.011475	0.075081	-0.022601	0.022079	-0.008642	0.046931
0.026217	0.247723	0.169915	-0.136364	0.018048	-0.102502	-0.004982	-0.032399	0.042863	-0.037439	0.01452	-0.006716	0.072858
0.02651	0.283202	0.143485	-0.13264	0.014267	-0.103362	-0.004527	0.002836	0.01538	-0.034057	0.010458	-0.007484	0.069502
0.025247	0.297411	0.172217	-0.134187	0.017762	-0.103476	-0.005628	0.016801	0.043059	-0.035947	0.013671	-0.007506	0.048703
0.02387	0.276331	0.206925	-0.12966	0.02521	-0.104622	-0.006843	-0.004522	0.076714	-0.031762	0.020838	-0.00856	0.068615
0.01787	0.235576	0.184475	-0.127941	0.021429	-0.104565	-0.012681	-0.045521	0.053211	-0.030385	0.016775	-0.008411	0.074054
0.020792	0.256015	0.140131	-0.138828	0.021028	-0.101127	-0.009597	-0.025325	0.007814	-0.041614	0.016093	-0.004881	0.080556
0.023793	0.295084	0.179254	-0.128973	0.012032	-0.102101	-0.006434	0.0135	0.045884	-0.032101	0.006816	-0.005763	0.098494
0.018898	0.274911	0.200424	-0.118545	0.021772	-0.106169	-0.011167	-0.006917	0.066	-0.022015	0.016274	-0.009739	0.067388
0.019779	0.265878	0.193713	-0.123358	0.023606	-0.107258	-0.010125	-0.016193	0.058236	-0.027171	0.017827	-0.010736	0.023376
0.020607	0.250623	0.154442	-0.123873	0.026471	-0.104909	-0.009135	-0.031692	0.017912	-0.028028	0.02041	-0.008295	0.060353
0.017025	0.300245	0.157443	-0.113216	0.022976	-0.104106	-0.012555	0.017686	0.01986	-0.017713	0.016634	-0.0074	0.069256
0.017773	0.288478	0.195155	-0.113618	0.018048	-0.110982	-0.011645	0.005676	0.056519	-0.018457	0.011424	-0.014184	0.060879
0.017922	0.268581	0.19188	-0.081876	0.026814	-0.111097	-0.011334	-0.014465	0.052191	0.012943	0.019909	-0.014208	0.058771
0.009672	0.255947	0.162171	-0.09385	0.030825	-0.113388	-0.019422	-0.027342	0.021429	0.000627	0.023638	-0.016407	0.066542
0.011798	0.307767	0.163303	-0.091902	0.032258	-0.109893	-0.017134	0.024234	0.021508	0.002232	0.02479	-0.01282	0.061078
0.01306	0.321468	0.200105	-0.083251	0.033174	-0.108747	-0.01571	0.037691	0.057257	0.010541	0.025425	-0.011582	0.061114
0.011654	0.262228	0.20576	-0.103304	0.036898	-0.107888	-0.016954	-0.021792	0.061859	-0.009854	0.028867	-0.010631	0.0878
0.01181	0.267336	0.158747	-0.092304	0.033403	-0.108346	-0.016636	-0.016928	0.013793	0.000804	0.025091	-0.010997	0.065326
0.01684	0.312986	0.156289	-0.093106	0.024293	-0.102789	-0.011444	0.028478	0.010282	-0.00034	0.015699	-0.005348	0.066637
0.020691	0.332203	0.188096	-0.077177	0.024351	-0.098778	-0.007431	0.047452	0.041036	0.015246	0.015476	-0.001245	0.072327
0.017917	0.295394	0.179934	-0.077865	0.024351	-0.101815	-0.010043	0.010399	0.031821	0.014216	0.015194	-0.00419	0.050996
0.016655	0.286152	0.142643	-0.088694	0.024293	-0.101127	-0.011143	0.000913	-0.006523	0.003045	0.014855	-0.00341	0.057896
0.017899	0.325401	0.155804	-0.080042	0.024351	-0.100497	-0.009737	0.039919	0.005585	0.011355	0.014632	-0.002688	0.061805
0.01885	0.326548	0.178721	-0.077808	0.024351	-0.102903	-0.008624	0.040822	0.027449	0.013247	0.01435	-0.005002	0.029064
0.021173	0.301884	0.185473	-0.075057	0.024351	-0.101184	-0.006139	0.015915	0.033148	0.015656	0.014069	-0.003191	0.03764
0.016788	0.271791	0.148883	-0.065374	0.024293	-0.10021	-0.010362	-0.014422	-0.004495	0.024996	0.013729	-0.002125	0.080419
0.016367	0.308107	0.139316	-0.065374	0.024293	-0.100096	-0.010621	0.02165	-0.015116	0.024654	0.013448	-0.001919	0.046403
0.018641	0.329063	0.18674	-0.065374	0.024293	-0.099695	-0.008185	0.042363	0.031255	0.024312	0.013166	-0.001426	0.071004
0.020345	0.265671	0.212667	-0.083022	0.024351	-0.09597	-0.006319	-0.021273	0.056129	0.006322	0.012943	0.002391	0.109725
0.035081	0.256273	0.159548	-0.082048	0.029565	-0.103419	0.008579	-0.030915	0.001957	0.006954	0.017875	-0.004966	0.089154
0.012596	0.286892	0.136292	-0.077349	0.021199	-0.111841	-0.013744	-0.000539	-0.022352	0.01131	0.009228	-0.013296	0.095111
0.01855	0.328704	0.167076	-0.088579	0.007047	-0.110237	-0.007629	0.041029	0.007379	-0.000262	-0.005205	-0.0116	0.1021
0.018042	0.337019	0.192167	-0.075229	0.004011	-0.104966	-0.007975	0.049101	0.031417	0.012746	-0.008523	-0.006237	0.052813
0.017155	0.31685	0.187952	-0.065374	0.003037	-0.104565	-0.0087	0.028688	0.026149	0.022259	-0.009778	-0.005744	0.035071
0.016634	0.309163	0.151187	-0.065374	0.00424	-0.104794	-0.009059	0.020757	-0.011669	0.021917	-0.008857	-0.005881	0.046223
0.021789	0.362838	0.149276	-0.060562	0.012662	-0.108346	-0.003742	0.074189	-0.014633	0.026387	-0.000716	-0.009341	0.07539
0.023755	0.339581	0.192824	-0.040451	0.005157	-0.101184	-0.001614	0.050688	0.027862	0.046155	-0.008503	-0.002087	0.099121
0.021015	0.287902	0.197395	-0.04853	0.003495	-0.109378	-0.004192	-0.001235	0.03138	0.037734	-0.010446	-0.010189	0.074641
0.013483	0.253508	0.178298	-0.071677	0.006303	-0.108404	-0.011562	-0.035872	0.01123	0.014245	-0.007919	-0.009123	0.084523
0.018215	0.319195	0.116463	-0.024293	-0.002235	-0.102158	-0.006668	0.029571	-0.051658	0.061287	-0.016739	-0.002785	0.186506
0.017409	0.339954	0.136702	-0.052712	-0.002235	-0.113216	-0.007312	0.050087	-0.032472	0.032526	-0.01702	-0.013751	0.076254
0.014581	0.293958	0.17578	-0.052082	-0.002235	-0.131093	-0.009978	0.003847	0.005553	0.032814	-0.017302	-0.031536	0.104052
0.014898	0.281485	0.172602	-0.052769	0.006646	-0.119462	-0.009499	-0.00887	0.001322	0.031784	-0.008702	-0.019813	0.034468
0.015739	0.306905	0.14805	-0.069614	-0.002235	-0.111899	-0.008496	0.016307	-0.024283	0.014597	-0.017865	-0.012158	0.079863
0.014604	0.381766	0.152614	-0.054832	0.007047	-0.114763	-0.009469	0.090924	-0.020773	0.029037	-0.008864	-0.01493	0.104059
0.018124	0.348267	0.171002	-0.044805	0.003953	-0.115623	-0.005787	0.057181	-0.003438	0.038722	-0.012239	-0.015698	0.067608
0.01812	0.32166	0.180597	-0.044805	0.007907	-0.119462	-0.005629	0.030331	0.005104	0.03838	-0.008567	-0.019445	0.043007
0.016668	0.282602	0.150774	-0.066921	0.004698	-0.112644	-0.006919	-0.008971	-0.025772	0.015921	-0.012057	-0.012535	0.098383
0.015286	0.345165	0.156572	-0.065203	0.007277	-0.115508	-0.008139	0.053348	-0.021027	0.017297	-0.00976	-0.015307	0.075992
0.022926	0.327934	0.19616	-0.057067	0.008422	-0.119462	-0.000337	0.035874	0.017508	0.025091	-0.008896	-0.019169	0.076009
0.016198	0.294604	0.199558	-0.052941	0.007448	-0.115222	-0.006903	0.0023	0.019853	0.028875	-0.010152	-0.014837	0.051607
0.016413	0.288625	0.166571	-0.066291	0.012662	-0.114821	-0.006526	-0.003922	-0.014187	0.015183	-0.005219	-0.014344	0.055731
0.018424	0.33757	0.14784	-0.051337	0.014782	-0.11442	-0.004353	0.044779	-0.033971	0.029795	-0.003381	-0.013851	0.084937
0.015737	0.351992	0.194648	-0.047785	-0.002235	-0.119462	-0.006879	0.058957	0.011784	0.033004	-0.020679	-0.018801	0.086267
0.018566	0.286063	0.19583	-0.052598	0.006933	-0.119462	-0.003888	-0.007215	0.011913	0.027849	-0.011792	-0.018709	0.082141
