trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	-0.009965	0.020601	-0.005884	-0.04977	-0.009798	-0.033529	0.0
0.009675	0.043065	-0.063139	0.025726	-0.022918	0.026929	-0.000878	0.063634	-0.067701	-0.024058	-0.031455	-0.006813	0.181829
-0.00047	0.009275	0.038049	0.0	-0.035581	0.022288	-0.011611	0.029812	0.034809	-0.049797	-0.042857	-0.011667	0.182674
-0.000571	-0.013295	0.059029	-0.015069	-0.044232	0.036497	-0.012301	0.00721	0.05711	-0.064879	-0.050247	0.002329	0.07675
0.013071	0.002728	0.00248	-0.00424	-0.035409	0.040164	0.000753	0.023201	0.001883	-0.054063	-0.040162	0.005784	0.106564
0.006269	0.017813	0.012322	0.0	-0.01547	0.028877	-0.006637	0.038254	0.013047	-0.049836	-0.018962	-0.005716	0.062679
-0.012683	-0.001372	0.089332	0.025382	-0.038904	0.02372	-0.026177	0.019036	0.091379	-0.024467	-0.041135	-0.011086	0.162247
-0.00875	-0.029784	0.079593	0.027445	-0.038331	0.025267	-0.022832	-0.009408	0.082962	-0.022418	-0.039301	-0.009752	0.045734
-0.007425	-0.007941	0.014204	0.007907	-0.040164	0.02521	-0.022095	0.012403	0.018895	-0.041969	-0.039873	-0.010022	0.107256
-0.012975	0.002826	0.057856	0.019824	-0.053514	0.029966	-0.028233	0.023138	0.063869	-0.030065	-0.051962	-0.005478	0.086169
-0.008176	-0.021413	0.098158	0.025267	-0.044977	0.037873	-0.024022	-0.001133	0.105492	-0.024635	-0.042164	0.002216	0.08844
-0.009874	-0.026751	0.083707	0.029966	-0.042513	0.030539	-0.026308	-0.006503	0.092363	-0.019949	-0.038439	-0.005331	0.034138
-0.010343	-0.010831	0.091614	0.014324	-0.050707	0.029278	-0.027366	0.009384	0.101592	-0.035604	-0.045371	-0.006805	0.046197
-0.004936	-0.027368	0.054642	0.023663	-0.051051	0.029565	-0.022547	-0.007185	0.065942	-0.026278	-0.044454	-0.006731	0.067616
-0.000153	-0.004294	0.035271	0.008824	-0.044175	0.042628	-0.018352	0.015857	0.047893	-0.041131	-0.036317	0.006119	0.077578
-0.004756	0.004079	0.088478	0.02819	-0.05317	0.041883	-0.023543	0.024198	0.102422	-0.021778	-0.044051	0.005162	0.091583
-0.007116	-0.015198	0.070827	0.065317	-0.056895	0.055405	-0.026491	0.004889	0.086093	0.015336	-0.046515	0.018471	0.086738
-0.010766	-0.000173	0.066722	0.051337	-0.074427	0.048014	-0.030729	0.019882	0.08331	0.001343	-0.062786	0.010867	0.056729
-0.001357	-0.018215	0.019647	0.053743	-0.041941	0.033461	-0.021908	0.001807	0.037556	0.003736	-0.029039	-0.003899	0.117675
0.002091	0.012508	0.020437	0.042284	-0.038445	0.048014	-0.019048	0.032498	0.039668	-0.007736	-0.024281	0.010441	0.060712
0.00196	0.006828	0.050079	0.04555	-0.059588	0.050077	-0.019767	0.026786	0.070632	-0.004483	-0.044163	0.012292	0.058554
0.001994	-0.021169	0.041977	0.035294	-0.05953	0.042915	-0.020322	-0.001243	0.063852	-0.014753	-0.042844	0.004917	0.051384
0.002297	-0.010076	0.022249	0.046295	-0.034263	0.043316	-0.020607	0.009818	0.045446	-0.003765	-0.016316	0.005105	0.063124
-0.007677	-0.038264	0.022898	0.055634	-0.032315	0.033575	-0.031169	-0.018402	0.047417	0.005561	-0.013107	-0.004849	0.057161
0.002292	-0.06998	0.008451	0.082162	-0.028247	0.040909	-0.021788	-0.050151	0.034292	0.032076	-0.007778	0.002272	0.089232
0.002263	-0.001101	0.028504	0.053457	-0.028304	0.044519	-0.022405	0.018696	0.055666	0.003358	-0.006574	0.00567	0.117211
