trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	-0.045055	-0.151703	0.004563	-0.041017	0.030877	-0.053989	0.0
0.0	5.8e-05	-4.9e-05	-0.003151	0.0	0.0	-0.044392	-0.151168	0.00181	-0.04163	0.029823	-0.05364	0.002857
0.003277	0.083301	0.036116	-0.081131	0.00149	0.007334	-0.040452	-0.067449	0.03527	-0.117071	0.030259	-0.045957	0.198436
0.005037	0.131861	-0.006655	-0.037873	-0.00275	0.011001	-0.038029	-0.018412	-0.010205	-0.071274	0.024965	-0.041941	0.137741
0.006529	0.197944	0.006424	-0.036784	0.010371	0.011975	-0.035874	0.048148	0.00017	-0.067646	0.037032	-0.040618	0.093905
0.004792	0.18767	0.034446	-0.017762	0.004183	0.01123	-0.036948	0.03835	0.025487	-0.046085	0.029789	-0.041014	0.062683
1.7e-05	0.168174	0.063598	-0.047384	0.009282	0.00762	-0.04106	0.019331	0.051935	-0.073168	0.033834	-0.044274	0.086873
-0.011946	0.111028	0.03559	-0.029565	0.018678	0.004469	-0.05236	-0.037338	0.021223	-0.05281	0.042176	-0.047076	0.123616
-0.005938	0.112797	0.035217	-0.022918	0.028247	0.00338	-0.045689	-0.035093	0.018145	-0.043624	0.050691	-0.047816	0.023251
-0.007524	0.080534	0.081896	-0.026299	0.01822	0.0	-0.046612	-0.066879	0.06212	-0.044466	0.03961	-0.050847	0.095178
-0.007073	0.046349	0.09312	-0.055806	0.01272	0.0	-0.045498	-0.100587	0.07064	-0.071434	0.033056	-0.050498	0.076409
-0.002784	0.040897	0.071845	-0.053801	0.005214	0.0	-0.040546	-0.105563	0.04666	-0.06689	0.024495	-0.050149	0.039316
0.009268	0.100125	0.098392	-0.070875	0.003094	0.006188	-0.027831	-0.045858	0.070503	-0.081425	0.021321	-0.043611	0.119977
0.007324	0.078047	0.076648	-0.033919	0.001891	0.005214	-0.029112	-0.06746	0.046055	-0.04193	0.019064	-0.044236	0.079916
-0.000106	0.110356	0.066916	-0.054947	0.001318	0.009568	-0.035879	-0.034674	0.033618	-0.060419	0.017437	-0.039533	0.072121
8.4e-05	0.136663	0.053528	-0.044977	0.00487	0.0	-0.035026	-0.00789	0.017526	-0.04791	0.019935	-0.048752	0.060035
0.000137	0.141356	0.070835	-0.048186	0.005558	0.0	-0.03431	-0.002721	0.032129	-0.04858	0.019568	-0.048403	0.025454
5.2e-05	0.109374	0.07024	-0.056952	0.003151	0.002979	-0.033731	-0.034226	0.028829	-0.054807	0.016107	-0.045075	0.045012
0.01489	0.112172	0.068045	-0.071276	-0.012548	0.013235	-0.01823	-0.030951	0.02393	-0.066592	-0.000646	-0.034469	0.054981
0.04726	0.139904	0.146227	-0.061937	0.024809	0.036383	0.014803	-0.002743	0.099408	-0.054714	0.035657	-0.010972	0.199234
0.028864	0.064098	0.130222	-0.07861	-0.005386	0.023892	-0.00293	-0.078072	0.080698	-0.068848	0.004408	-0.023114	0.162007
0.023058	0.060809	0.082589	-0.096372	-0.005214	0.027617	-0.008073	-0.080884	0.030361	-0.084071	0.003525	-0.01904	0.075629
0.025992	0.113588	0.051347	-0.040222	-0.00063	0.023892	-0.004476	-0.027629	-0.003585	-0.025382	0.007055	-0.022416	0.143206
0.024285	0.058215	0.056638	-0.041425	-0.00424	0.023892	-0.00552	-0.082525	-0.000999	-0.024047	0.002391	-0.022066	0.066571
0.019718	0.07109	0.03577	-0.049618	-0.003209	0.023892	-0.009424	-0.069173	-0.024571	-0.029701	0.002368	-0.021717	0.046359
0.023089	0.131181	0.028272	-0.029966	0.000172	0.023892	-0.00539	-0.008606	-0.034773	-0.00751	0.004695	-0.021368	0.09106
0.027669	0.090253	0.076924	-0.074943	-0.000516	0.027502	-0.000147	-0.049057	0.011174	-0.049948	0.002953	-0.017409	0.137161
0.028551	0.090002	0.039325	-0.047842	-0.011402	0.023892	0.001398	-0.048831	-0.029129	-0.020308	-0.008988	-0.02067	0.075032
0.024538	0.127508	0.018154	-0.029966	-0.003552	0.014496	-0.001952	-0.010849	-0.053004	0.000107	-0.002192	-0.029717	0.09334
0.0183	0.112432	0.06579	-0.036898	-0.001375	0.015756	-0.007527	-0.025448	-0.008073	-0.004286	-0.001069	-0.028107	0.077999
0.019192	0.063338	0.089854	-0.075287	0.001318	0.023892	-0.005972	-0.074065	0.013287	-0.040136	0.00057	-0.019622	0.117001
0.012461	0.06099	0.058662	-0.059702	0.001318	0.014152	-0.01204	-0.075937	-0.020609	-0.022012	-0.000484	-0.029013	0.062371
0.012533	0.107188	0.047705	-0.036612	0.00573	0.014095	-0.011305	-0.029262	-0.034271	0.003617	0.002873	-0.028721	0.081277
0.018772	0.105103	0.062948	-0.038675	0.002292	0.013006	-0.004403	-0.03087	-0.021732	0.004093	-0.001619	-0.029461	0.029318
0.017282	0.095229	0.07928	-0.075401	-0.005214	0.023892	-0.00523	-0.040268	-0.008104	-0.030094	-0.010179	-0.018226	0.075796
0.012145	0.08068	0.071223	-0.075401	-0.013063	0.023892	-0.009704	-0.05434	-0.018866	-0.027555	-0.019082	-0.017876	0.034593
0.012476	0.147075	0.037754	-0.045779	0.010141	0.023892	-0.00871	0.012532	-0.055039	0.004606	0.003068	-0.017527	0.146294
0.012424	0.097743	0.068832	-0.060275	0.005329	0.023892	-0.008099	-0.036324	-0.026665	-0.007351	-0.002799	-0.017178	0.097311
0.010167	0.083864	0.045652	-0.074771	0.010141	0.023892	-0.009693	-0.049726	-0.05255	-0.019308	0.000959	-0.016829	0.056165
0.012526	0.145857	0.05766	-0.069156	0.017762	0.029737	-0.006671	0.012744	-0.043246	-0.011154	0.007526	-0.010635	0.093011
0.006211	0.116219	0.072509	-0.051566	0.010141	0.023892	-0.012323	-0.016418	-0.031101	0.008975	-0.001149	-0.016131	0.077903
0.007627	0.083318	0.077446	-0.077063	0.014954	0.023892	-0.010244	-0.048842	-0.028869	-0.013983	0.00261	-0.015781	0.065704
0.012462	0.079805	0.077305	-0.091788	0.018105	0.034435	-0.004746	-0.051879	-0.031714	-0.026169	0.004707	-0.004889	0.033289
0.020116	0.144499	0.074088	-0.04916	0.010141	0.040222	0.003571	0.013292	-0.037635	0.018998	-0.004312	0.001247	0.124765
0.017416	0.09121	0.136594	-0.079756	0.013694	0.043602	0.001534	-0.03952	0.022166	-0.009059	-0.001813	0.004976	0.151245
0.012451	0.070188	0.122329	-0.117915	0.014897	0.036326	-0.002767	-0.060066	0.005197	-0.04468	-0.001664	-0.001951	0.080951
0.017704	0.140159	0.086077	-0.092533	0.017074	0.034664	0.003149	0.010382	-0.033759	-0.016759	-0.000541	-0.003264	0.136976
0.012469	0.135763	0.105388	-0.078438	0.013522	0.028533	-0.001423	0.006463	-0.017153	-0.000125	-0.005147	-0.009045	0.049692
0.015174	0.113625	0.118449	-0.109607	0.010141	0.032888	0.001945	-0.015199	-0.006796	-0.028755	-0.009583	-0.004341	0.071855
