trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	0.0608	0.344495	0.522691	0.293662	0.072571	-0.063104	0.0
-0.021431	-0.07237	-0.008961	-0.156876	0.0	0.024637	0.039541	0.272404	0.515959	0.135847	0.07366	-0.038708	0.261162
-0.023996	-0.117665	-0.047554	-0.23136	-0.029737	0.059416	0.037148	0.227388	0.479595	0.060424	0.045012	-0.00417	0.207753
-0.027055	-0.145871	-0.097189	-0.210562	-0.036956	0.077693	0.03426	0.199461	0.432189	0.080283	0.038883	0.013865	0.121299
-0.024739	-0.12495	-0.075165	-0.214802	-0.045321	0.08474	0.036748	0.220661	0.456442	0.075104	0.031607	0.020671	0.062411
-0.026088	-0.186336	-0.048731	-0.198988	-0.047842	0.07861	0.035571	0.159554	0.485105	0.089979	0.030176	0.0143	0.110519
-0.026082	-0.240588	-0.112133	-0.258977	-0.052426	0.097002	0.035749	0.105581	0.423933	0.029051	0.026681	0.03245	0.190061
-0.030722	-0.228131	-0.126851	-0.287109	-0.05953	0.105711	0.031281	0.118317	0.411444	-2e-05	0.020667	0.040918	0.070164
-0.038239	-0.379759	-0.193265	-0.604413	-0.082506	0.161574	0.023935	-0.033033	0.347259	-0.318263	-0.00122	0.09654	0.571259
-0.041851	-0.448305	-0.115576	-0.525918	-0.091387	0.139573	0.020495	-0.1013	0.427177	-0.240708	-0.009012	0.074297	0.245296
-0.043909	-0.427642	-0.106663	-0.38222	-0.055462	0.120436	0.018609	-0.080358	0.438319	-0.097949	0.028003	0.054919	0.205085
-0.045804	-0.351858	-0.1247	-0.400727	-0.069041	0.122785	0.016886	-0.004295	0.422511	-0.117395	0.015513	0.057026	0.125766
-0.048894	-0.384124	-0.158721	-0.418718	-0.066119	0.143354	0.013967	-0.036282	0.39072	-0.136325	0.019525	0.077354	0.105577
-0.050662	-0.308697	-0.185992	-0.408691	-0.079928	0.145359	0.012371	0.039424	0.365678	-0.127237	0.006805	0.079118	0.127017
-0.048983	-0.311272	-0.194842	-0.411899	-0.084683	0.149141	0.014222	0.037128	0.359057	-0.131384	0.003139	0.082658	0.023353
-0.052806	-0.346766	-0.23725	-0.426223	-0.073682	0.152521	0.010571	0.001913	0.318878	-0.146647	0.01523	0.085797	0.106775
-0.059623	-0.294344	-0.222032	-0.408863	-0.088006	0.135734	0.003925	0.054614	0.336325	-0.130226	0.001995	0.068769	0.116756
-0.068443	-0.376919	-0.250272	-0.429546	-0.084855	0.128572	-0.004723	-0.027682	0.310314	-0.151848	0.006236	0.061365	0.146684
-0.070612	-0.406041	-0.315667	-0.441808	-0.099867	0.145531	-0.00672	-0.056525	0.247149	-0.165049	-0.007687	0.078083	0.135287
-0.06923	-0.359879	-0.271195	-0.391731	-0.126566	0.140203	-0.005166	-0.010084	0.29385	-0.115911	-0.033297	0.072514	0.163665
-0.069429	-0.436751	-0.298345	-0.39981	-0.108919	0.141692	-0.005193	-0.086677	0.268929	-0.124929	-0.01456	0.073761	0.127971
-0.080775	-0.421962	-0.368087	-0.443985	-0.126681	0.132697	-0.016368	-0.071609	0.201416	-0.170043	-0.031233	0.064525	0.157777
-0.061888	-0.311785	-0.301585	-0.279718	-0.094653	0.095111	0.002691	0.038847	0.270147	-0.006715	0.001885	0.026698	0.399666
-0.04345	-0.338976	-0.290927	-0.197499	-0.049274	0.032429	0.021301	0.011935	0.283034	0.074565	0.048353	-0.036226	0.222338
-0.058581	-0.337301	-0.386435	-0.260982	-0.070015	0.054775	0.006342	0.013889	0.189756	0.010143	0.028702	-0.014121	0.205314
-0.073455	-0.211134	-0.374074	-0.169825	-0.084282	0.038675	-0.008361	0.140335	0.204346	0.100361	0.015524	-0.030462	0.259452
-0.068934	-0.2438	-0.346006	-0.148224	-0.067666	0.020684	-0.003668	0.107948	0.234643	0.121023	0.033229	-0.048695	0.114306
-0.067573	-0.326971	-0.341405	-0.200879	-0.06251	0.033518	-0.002135	0.025056	0.241473	0.067429	0.039475	-0.036102	0.150782
-0.070503	-0.310399	-0.347293	-0.219672	-0.065432	0.038675	-0.004893	0.041907	0.237814	0.047697	0.037642	-0.031187	0.04884
-0.076087	-0.338124	-0.329405	-0.236632	-0.076089	0.058843	-0.010305	0.014461	0.257931	0.029798	0.028075	-0.01126	0.092897
-0.079803	-0.411242	-0.385516	-0.288771	-0.080443	0.06463	-0.01385	-0.058379	0.20405	-0.02328	0.02481	-0.005714	0.187295
-0.09021	-0.389873	-0.426777	-0.338618	-0.085142	0.082277	-0.024085	-0.036731	0.165018	-0.074066	0.0212	0.011691	0.136037
-0.08316	-0.390268	-0.418669	-0.319424	-0.079756	0.08411	-0.016863	-0.036847	0.175355	-0.055812	0.027676	0.013283	0.038603
-0.084641	-0.422364	-0.491522	-0.365146	-0.083996	0.083595	-0.018172	-0.068664	0.104731	-0.102473	0.024525	0.012527	0.150479
-0.090247	-0.347308	-0.502362	-0.368068	-0.1017	0.09047	-0.023607	0.006671	0.09612	-0.106334	0.007911	0.01916	0.115501
-0.084521	-0.345728	-0.455048	-0.303438	-0.091559	0.08772	-0.017709	0.00853	0.145663	-0.042643	0.019141	0.016169	0.12227
-0.084859	-0.389183	-0.515129	-0.392648	-0.093335	0.088866	-0.017875	-0.034646	0.087812	-0.132792	0.018454	0.017074	0.184274
-0.089287	-0.373993	-0.539314	-0.423187	-0.085543	0.092017	-0.022131	-0.019177	0.065856	-0.16427	0.027336	0.019983	0.080003
-0.087243	-0.353856	-0.475905	-0.377751	-0.093106	0.090012	-0.019916	0.001239	0.131494	-0.119773	0.020862	0.017737	0.13359
-0.084245	-0.409978	-0.51906	-0.406112	-0.093392	0.097116	-0.016746	-0.054604	0.090568	-0.149073	0.021666	0.0246	0.133474
-0.086338	-0.41346	-0.557621	-0.416368	-0.090298	0.09322	-0.018667	-0.057807	0.054236	-0.160268	0.025849	0.020462	0.059186
-0.085975	-0.361952	-0.455579	-0.309168	-0.093392	0.085714	-0.018132	-0.00602	0.158507	-0.054007	0.023844	0.012715	0.256713
-0.083821	-0.434039	-0.54114	-0.396028	-0.095913	0.093793	-0.015806	-0.077828	0.075176	-0.141806	0.022413	0.020553	0.244852
-0.088128	-0.384178	-0.583731	-0.4068	-0.104966	0.092705	-0.019942	-0.027688	0.034814	-0.153517	0.014449	0.019223	0.115009
-0.082757	-0.353976	-0.512777	-0.319997	-0.115394	0.103362	-0.014399	0.002793	0.107997	-0.067653	0.005111	0.029639	0.200677
-0.080454	-0.410774	-0.578336	-0.382507	-0.100382	0.107258	-0.011924	-0.053726	0.044667	-0.131102	0.021212	0.033293	0.195711
-0.084311	-0.399115	-0.618978	-0.393336	-0.105653	0.107659	-0.015609	-0.041788	0.006254	-0.14287	0.017031	0.033453	0.070558
-0.087604	-0.359024	-0.562597	-0.355979	-0.107945	0.101012	-0.018731	-0.001418	0.064864	-0.106452	0.015828	0.026565	0.140166
-0.08086	-0.426158	-0.57161	-0.387434	-0.10594	0.113618	-0.011815	-0.068273	0.058081	-0.138846	0.018922	0.038929	0.123091
-0.024398	-0.379989	-0.517691	-0.276567	-0.149657	0.190451	0.044819	-0.021825	0.114229	-0.028918	-0.023705	0.115521	0.358499
-0.056417	-0.324515	-0.501883	-0.199905	-0.10319	0.130692	0.012972	0.033928	0.132266	0.046805	0.023851	0.055521	0.262901
-0.078924	-0.414956	-0.58406	-0.331284	-0.130921	0.114248	-0.009363	-0.056234	0.052318	-0.085513	-0.00279	0.038835	0.348325
-0.083435	-0.398721	-0.673977	-0.384798	-0.106685	0.101757	-0.013703	-0.03972	-0.03537	-0.139966	0.022535	0.026103	0.189413
-0.081597	-0.337876	-0.629728	-0.333576	-0.116769	0.095627	-0.011693	0.021403	0.011108	-0.089683	0.01354	0.019732	0.165781
-0.080457	-0.392684	-0.616805	-0.339993	-0.110982	0.097976	-0.010381	-0.033126	0.026261	-0.097039	0.020417	0.021839	0.081571
-0.082737	-0.40057	-0.681695	-0.375574	-0.123931	0.102216	-0.012489	-0.040733	-0.0364	-0.13356	0.008557	0.025838	0.121107
-0.08148	-0.346389	-0.611514	-0.321888	-0.129775	0.10743	-0.011061	0.013727	0.03601	-0.080813	0.003803	0.030811	0.182119
-0.080414	-0.423447	-0.631898	-0.364458	-0.120837	0.112071	-0.009823	-0.063052	0.017855	-0.124322	0.01383	0.03521	0.147507
-0.081179	-0.405951	-0.692751	-0.397633	-0.119003	0.113847	-0.010416	-0.045277	-0.040769	-0.158436	0.016753	0.036745	0.111215
-0.077012	-0.341475	-0.623703	-0.316215	-0.134015	0.101242	-0.006077	0.019478	0.030508	-0.077957	0.002831	0.023899	0.232842
-0.081454	-0.432604	-0.652799	-0.365547	-0.121811	0.102216	-0.010348	-0.071372	0.003642	-0.128228	0.016124	0.024631	0.179217
-0.085199	-0.388818	-0.724311	-0.381074	-0.126853	0.103591	-0.013921	-0.027307	-0.065641	-0.144694	0.012172	0.025765	0.138193
-0.082658	-0.354915	-0.643333	-0.313121	-0.127082	0.095111	-0.011208	0.006875	0.017566	-0.07768	0.013032	0.017043	0.184322
-0.087274	-0.417746	-0.715293	-0.375402	-0.136192	0.125535	-0.015652	-0.055677	-0.052165	-0.1409	0.005012	0.047226	0.228257
-0.081956	-0.326882	-0.6543	-0.222365	-0.183576	0.10233	-0.010162	0.035466	0.011057	0.011198	-0.041283	0.02378	0.352325
-0.073973	-0.38472	-0.663116	-0.249065	-0.174408	0.100038	-0.002008	-0.022093	0.00447	-0.016441	-0.031026	0.021246	0.107938
-0.077441	-0.355505	-0.673238	-0.266082	-0.163637	0.101585	-0.005304	0.007401	-0.003422	-0.034397	-0.019165	0.022552	0.068405
-0.081092	-0.338019	-0.654374	-0.269634	-0.16633	0.114133	-0.008783	0.025166	0.017671	-0.038888	-0.020769	0.034859	0.056401
-0.091112	-0.411923	-0.71816	-0.318335	-0.146448	0.098205	-0.018631	-0.048459	-0.043886	-0.088528	0.000203	0.018689	0.22146
-0.087441	-0.340787	-0.705081	-0.304183	-0.155673	0.093163	-0.014789	0.022956	-0.028578	-0.075315	-0.007933	0.013406	0.112686
-0.080002	-0.377585	-0.676234	-0.288542	-0.164095	0.10382	-0.007178	-0.013563	0.002498	-0.060613	-0.015266	0.023822	0.103383
-0.086356	-0.414073	-0.727081	-0.348817	-0.151204	0.10107	-0.01336	-0.049772	-0.04612	-0.121827	-0.001285	0.02083	0.159938
-0.085755	-0.362052	-0.716004	-0.316788	-0.14788	0.108346	-0.012587	0.002528	-0.032813	-0.090737	0.003128	0.027865	0.1009
-0.086334	-0.385332	-0.679459	-0.285505	-0.157678	0.105596	-0.012994	-0.020473	0.005961	-0.060393	-0.00558	0.024874	0.098654
-0.0951	-0.411319	-0.767272	-0.321945	-0.126452	0.098377	-0.021589	-0.046181	-0.079623	-0.097772	0.026735	0.017413	0.187915
-0.120807	-0.346618	-0.711293	-0.223167	-0.185524	0.047613	-0.047124	0.018798	-0.021415	6.7e-05	-0.031248	-0.033592	0.328437
-0.119008	-0.371712	-0.664045	-0.177502	-0.203916	0.058556	-0.045153	-0.006017	0.028062	0.044793	-0.04855	-0.02289	0.139591
-0.114759	-0.400742	-0.723179	-0.24047	-0.194347	0.05128	-0.040732	-0.034768	-0.028843	-0.019114	-0.037892	-0.030408	0.162063
-0.102421	-0.369445	-0.701174	-0.155845	-0.2356	0.049675	-0.028223	-0.003192	-0.004608	0.064571	-0.078055	-0.032254	0.17689
-0.086215	-0.427085	-0.647847	-0.136135	-0.251127	0.062739	-0.011845	-0.060553	0.050948	0.083342	-0.092493	-0.019432	0.169324
-0.085747	-0.303926	-0.719928	-0.168908	-0.236861	0.072823	-0.011205	0.062885	-0.018904	0.04963	-0.077137	-0.009589	0.245557
-0.086897	-0.290331	-0.733656	-0.178935	-0.22712	0.066291	-0.012183	0.076759	-0.030403	0.038664	-0.066307	-0.016362	0.051424
-0.082393	-0.35035	-0.700405	-0.158881	-0.230959	0.081303	-0.007508	0.017019	0.005077	0.057779	-0.069057	-0.001592	0.131725
-0.080152	-0.396014	-0.767162	-0.211822	-0.223511	0.085256	-0.005095	-0.028366	-0.059451	0.003899	-0.060519	0.00212	0.170811
-0.082013	-0.336991	-0.753211	-0.175612	-0.231819	0.085142	-0.006784	0.030936	-0.04327	0.03917	-0.067738	0.001765	0.113784
-0.082849	-0.390008	-0.724579	-0.177789	-0.22099	0.068468	-0.007448	-0.021802	-0.012409	0.036054	-0.055819	-0.015151	0.108386
-0.085368	-0.407772	-0.784349	-0.228897	-0.197327	0.073625	-0.009795	-0.039287	-0.06995	-0.015993	-0.031067	-0.010235	0.149803
-0.081954	-0.341397	-0.752562	-0.166559	-0.235829	0.085027	-0.00621	0.027367	-0.035934	0.045406	-0.06848	0.000926	0.199526
-0.080324	-0.369695	-0.724218	-0.122097	-0.24683	0.084225	-0.004408	-0.000652	-0.005361	0.088929	-0.078391	-0.000118	0.107372
-0.078131	-0.404709	-0.789029	-0.198874	-0.221792	0.075229	-0.002043	-0.035387	-0.067943	0.011213	-0.052264	-0.009355	0.198719
-0.074592	-0.329047	-0.74218	-0.172231	-0.229069	0.072365	0.001668	0.040554	-0.018864	0.036917	-0.058451	-0.01246	0.15815
-0.075384	-0.390062	-0.796716	-0.205004	-0.206437	0.071963	0.001047	-0.020182	-0.071171	0.003205	-0.03473	-0.013104	0.165044
-0.084043	-0.359738	-0.85153	-0.210619	-0.209416	0.0911	-0.00744	0.010421	-0.123756	-0.003349	-0.03662	0.005792	0.117997
-0.083156	-0.329799	-0.772895	-0.146563	-0.249179	0.072766	-0.006381	0.040639	-0.042892	0.059768	-0.075293	-0.012783	0.21606
-0.08251	-0.407125	-0.825149	-0.199217	-0.206208	0.090986	-0.005563	-0.036408	-0.092917	0.006175	-0.031233	0.005195	0.229575
-0.089777	-0.370009	-0.86879	-0.208098	-0.215776	0.075974	-0.012658	0.000987	-0.134329	-0.003645	-0.039711	-0.010058	0.117224
-0.084197	-0.369746	-0.78822	-0.143641	-0.251758	0.086116	-0.006907	0.001529	-0.051529	0.059873	-0.074604	-0.000158	0.182913
-0.081167	-0.419164	-0.80818	-0.165814	-0.248492	0.089095	-0.003705	-0.047611	-0.06926	0.036761	-0.070249	0.00258	0.097207
-0.083961	-0.374203	-0.810366	-0.135275	-0.253591	0.091845	-0.006327	-0.002371	-0.069217	0.066361	-0.074258	0.005089	0.083441
-0.0816	-0.376901	-0.755448	-0.112815	-0.265394	0.090585	-0.003794	-0.00479	-0.01207	0.087882	-0.084972	0.003587	0.090977
-0.085173	-0.417939	-0.836174	-0.187243	-0.216979	0.082449	-0.007196	-0.045549	-0.090567	0.012515	-0.035467	-0.00479	0.239638
-0.091927	-0.347458	-0.881893	-0.145073	-0.220073	0.074255	-0.013778	0.025211	-0.134057	0.053745	-0.037472	-0.013225	0.169605
-0.092671	-0.349742	-0.828407	-0.072938	-0.280921	0.072307	-0.01435	0.023206	-0.078341	0.124941	-0.09723	-0.015415	0.174264
-0.091548	-0.426867	-0.869318	-0.196926	-0.203285	0.081475	-0.013055	-0.05364	-0.117023	1.4e-05	-0.018505	-0.006488	0.30311
