trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
2.5e-05	0.0	-3.6e-05	0.0	-0.00361	0.0	-0.041867	-0.137162	-0.285116	0.067437	0.061235	0.006825	0.0
0.012956	0.011888	0.041476	-0.050879	0.0	0.020168	-0.029018	-0.125145	-0.24464	0.016946	0.065274	0.027149	0.131482
0.016574	0.120971	0.084807	-0.084282	0.0	0.013407	-0.025483	-0.015933	-0.202345	-0.016068	0.065703	0.020544	0.191082
0.01688	0.208313	0.0711	-0.021715	-0.018105	0.004412	-0.02526	0.071538	-0.217087	0.046888	0.048028	0.011706	0.179604
0.01892	0.223555	0.108081	-0.036497	-0.020512	0.009912	-0.023303	0.086909	-0.181142	0.032495	0.04605	0.017362	0.074063
0.021125	0.24052	0.097625	-0.035695	-0.022746	0.010829	-0.021181	0.104003	-0.192634	0.033685	0.044245	0.018435	0.033076
0.029483	0.257427	0.12945	-0.041597	-0.031799	0.008995	-0.012905	0.121039	-0.161845	0.028172	0.035621	0.016757	0.071741
0.029332	0.199148	0.179548	-0.056322	-0.0483	0.002406	-0.013139	0.062889	-0.112782	0.013836	0.01955	0.010324	0.141528
0.029439	0.127848	0.214343	-0.063025	-0.036096	0.002807	-0.013115	-0.008282	-0.079023	0.007522	0.032183	0.010881	0.123051
0.031512	0.092788	0.195213	-0.075459	-0.048701	0.006303	-0.011125	-0.043213	-0.099189	-0.004524	0.020007	0.014533	0.081164
0.029315	0.139303	0.171842	-0.056322	-0.039018	-0.007907	-0.013404	0.003431	-0.123596	0.015002	0.030119	0.00048	0.109634
0.029406	0.124856	0.182185	-0.056322	-0.034148	-0.001719	-0.013396	-0.010887	-0.114288	0.015391	0.035419	0.006824	0.034531
0.029404	0.112498	0.209983	-0.056322	-0.038961	-0.001776	-0.013481	-0.023116	-0.087526	0.015779	0.031035	0.006923	0.044408
0.029334	0.137171	0.170138	-0.056322	-0.039133	-0.005214	-0.013634	0.001686	-0.128407	0.016168	0.031292	0.003641	0.067738
0.029321	0.211002	0.165444	-0.056322	-0.042055	-0.001375	-0.013729	0.075646	-0.134137	0.016557	0.028799	0.007636	0.084438
0.029459	0.210002	0.196427	-0.056322	-0.036211	-0.002235	-0.013674	0.074775	-0.104189	0.016946	0.035072	0.006932	0.037971
0.029369	0.162346	0.202713	-0.06377	-0.0373	-0.000974	-0.013847	0.027248	-0.098939	0.009886	0.034413	0.008349	0.062582
0.029296	0.223214	0.174233	-0.06314	-0.045894	-0.000229	-0.014003	0.088245	-0.128455	0.010905	0.026248	0.009251	0.098121
