trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	-0.048363	-0.048239	-0.34993	0.016535	-0.0672	-0.034672	0.0
0.023281	5e-06	0.0	0.0	0.0	0.019481	-0.025344	-0.048634	-0.349169	0.016563	-0.06707	-0.015488	0.040286
0.018616	0.183406	0.025276	0.007047	0.0	0.008995	-0.030272	0.134367	-0.323132	0.023638	-0.06694	-0.026271	0.228642
0.017453	0.125543	0.089351	0.021543	0.0	0.0	-0.031697	0.076104	-0.258296	0.038162	-0.06681	-0.035563	0.143601
0.022975	0.184466	0.09524	0.037128	0.005214	0.004068	-0.026437	0.134628	-0.251646	0.053775	-0.061467	-0.031791	0.092035
0.034939	0.207161	0.126327	0.045092	0.028705	0.020111	-0.014736	0.156923	-0.219798	0.061767	-0.037846	-0.016045	0.107196
0.034807	0.067017	0.151801	0.046868	0.019481	0.028132	-0.01513	0.016379	-0.193564	0.063571	-0.04694	-0.008321	0.182349
0.046852	0.176799	0.151906	0.053056	0.02372	0.027502	-0.003347	0.125761	-0.192698	0.069787	-0.042571	-0.009247	0.131581
0.062737	0.112154	0.197128	0.016215	-0.004698	0.036268	0.012275	0.060717	-0.146715	0.032975	-0.070859	-0.000778	0.190351
0.04912	0.001756	0.201028	0.047384	0.025611	0.029737	-0.001604	-0.050081	-0.142054	0.064172	-0.04042	-0.007606	0.187264
0.045541	0.037431	0.190945	0.054603	0.037471	0.024351	-0.005445	-0.014806	-0.151376	0.071419	-0.02843	-0.013288	0.070687
0.060771	0.127817	0.200626	0.060447	0.051738	0.030138	0.009522	0.07518	-0.140935	0.077291	-0.014033	-0.007798	0.137897
0.049454	0.04652	0.200345	0.054316	0.05529	0.023835	-0.002057	-0.006516	-0.140455	0.071188	-0.010351	-0.014398	0.106845
0.050537	0.072335	0.172895	0.071161	0.037414	0.034263	-0.001236	0.018899	-0.167144	0.088061	-0.028097	-0.004267	0.093748
0.052489	0.1833	0.169218	0.074255	0.051738	0.029221	0.000453	0.129464	-0.17006	0.091183	-0.013644	-0.009605	0.136194
0.046153	0.108889	0.172998	0.059244	0.056551	0.023835	-0.006145	0.054653	-0.165519	0.0762	-0.008701	-0.015288	0.106527
0.061157	0.162591	0.181888	0.015069	0.058213	0.030138	0.008597	0.107956	-0.155869	0.032053	-0.006909	-0.009282	0.123097
0.052958	0.1534	0.178166	0.050019	0.056837	0.023835	0.000135	0.098365	-0.15883	0.067031	-0.008155	-0.015881	0.058313
